,support,itemsets
42381,0.06,"frozenset({89, 58, 69})"
42382,0.05,"frozenset({90, 58, 69})"
42383,0.05,"frozenset({58, 93, 69})"
42384,0.09,"frozenset({96, 58, 69})"
42385,0.09,"frozenset({97, 58, 69})"
42386,0.08,"frozenset({58, 69, 98})"
42387,0.06,"frozenset({58, 100, 69})"
42388,0.07,"frozenset({58, 70, 71})"
42389,0.05,"frozenset({72, 58, 70})"
42390,0.05,"frozenset({58, 75, 70})"
42391,0.05,"frozenset({58, 76, 70})"
42392,0.05,"frozenset({58, 77, 70})"
42393,0.05,"frozenset({70, 58, 78})"
42394,0.06,"frozenset({80, 58, 70})"
42395,0.09,"frozenset({81, 58, 70})"
42396,0.05,"frozenset({58, 85, 70})"
42397,0.05,"frozenset({70, 58, 86})"
42398,0.05,"frozenset({58, 70, 87})"
42399,0.08,"frozenset({89, 58, 70})"
42400,0.06,"frozenset({58, 92, 70})"
42401,0.06,"frozenset({58, 93, 70})"
42402,0.05,"frozenset({70, 58, 94})"
42403,0.05,"frozenset({58, 70, 95})"
42404,0.09,"frozenset({96, 58, 70})"
42405,0.08,"frozenset({58, 70, 98})"
42406,0.05,"frozenset({58, 100, 70})"
42407,0.05,"frozenset({58, 77, 71})"
42408,0.05,"frozenset({58, 79, 71})"
42409,0.06,"frozenset({81, 58, 71})"
42410,0.05,"frozenset({58, 84, 71})"
42411,0.05,"frozenset({58, 87, 71})"
42412,0.05,"frozenset({58, 95, 71})"
42413,0.05,"frozenset({96, 58, 71})"
42414,0.05,"frozenset({58, 98, 71})"
42415,0.07,"frozenset({72, 58, 77})"
42416,0.05,"frozenset({80, 58, 72})"
42417,0.06,"frozenset({72, 58, 85})"
42418,0.05,"frozenset({88, 58, 72})"
42419,0.05,"frozenset({72, 90, 58})"
42420,0.07,"frozenset({72, 58, 93})"
42421,0.08,"frozenset({96, 58, 72})"
42422,0.06,"frozenset({72, 97, 58})"
42423,0.05,"frozenset({72, 58, 98})"
42424,0.05,"frozenset({73, 58, 76})"
42425,0.06,"frozenset({73, 58, 77})"
42426,0.05,"frozenset({73, 58, 82})"
42427,0.07,"frozenset({73, 58, 93})"
42428,0.05,"frozenset({74, 83, 58})"
42429,0.05,"frozenset({74, 58, 93})"
42430,0.05,"frozenset({74, 58, 98})"
42431,0.06,"frozenset({58, 75, 77})"
42432,0.05,"frozenset({58, 75, 79})"
42433,0.05,"frozenset({96, 58, 75})"
42434,0.05,"frozenset({97, 58, 75})"
42435,0.06,"frozenset({58, 76, 77})"
42436,0.05,"frozenset({82, 58, 76})"
42437,0.06,"frozenset({58, 83, 76})"
42438,0.05,"frozenset({58, 76, 85})"
42439,0.06,"frozenset({89, 58, 76})"
42440,0.09,"frozenset({58, 76, 93})"
42441,0.05,"frozenset({96, 58, 76})"
42442,0.05,"frozenset({97, 58, 76})"
42443,0.08,"frozenset({58, 77, 78})"
42444,0.06,"frozenset({58, 77, 79})"
42445,0.07,"frozenset({80, 58, 77})"
42446,0.06,"frozenset({81, 58, 77})"
42447,0.06,"frozenset({82, 58, 77})"
42448,0.06,"frozenset({58, 83, 77})"
42449,0.07,"frozenset({58, 85, 77})"
42450,0.07,"frozenset({58, 77, 86})"
42451,0.09,"frozenset({58, 77, 87})"
42452,0.08,"frozenset({88, 58, 77})"
42453,0.07,"frozenset({58, 92, 77})"
42454,0.08,"frozenset({58, 93, 77})"
42455,0.06,"frozenset({58, 77, 94})"
42456,0.05,"frozenset({58, 77, 95})"
42457,0.09,"frozenset({96, 58, 77})"
42458,0.1,"frozenset({97, 58, 77})"
42459,0.05,"frozenset({58, 77, 98})"
42460,0.05,"frozenset({58, 99, 77})"
42461,0.05,"frozenset({58, 100, 77})"
42462,0.06,"frozenset({58, 78, 79})"
42463,0.06,"frozenset({81, 58, 78})"
42464,0.05,"frozenset({58, 84, 78})"
42465,0.05,"frozenset({58, 85, 78})"
42466,0.05,"frozenset({78, 58, 86})"
42467,0.05,"frozenset({88, 58, 78})"
42468,0.07,"frozenset({97, 58, 78})"
42469,0.05,"frozenset({58, 83, 79})"
42470,0.05,"frozenset({58, 84, 79})"
42471,0.05,"frozenset({58, 85, 79})"
42472,0.05,"frozenset({88, 58, 79})"
42473,0.07,"frozenset({96, 58, 79})"
42474,0.07,"frozenset({97, 58, 79})"
42475,0.05,"frozenset({80, 81, 58})"
42476,0.05,"frozenset({80, 58, 83})"
42477,0.06,"frozenset({80, 58, 85})"
42478,0.05,"frozenset({80, 90, 58})"
42479,0.05,"frozenset({80, 58, 93})"
42480,0.08,"frozenset({96, 58, 80})"
42481,0.05,"frozenset({80, 58, 100})"
42482,0.05,"frozenset({81, 58, 84})"
42483,0.05,"frozenset({81, 58, 85})"
42484,0.05,"frozenset({81, 58, 86})"
42485,0.05,"frozenset({81, 58, 87})"
42486,0.05,"frozenset({88, 81, 58})"
42487,0.05,"frozenset({96, 81, 58})"
42488,0.06,"frozenset({81, 58, 99})"
42489,0.05,"frozenset({81, 58, 100})"
42490,0.05,"frozenset({89, 82, 58})"
42491,0.07,"frozenset({82, 58, 93})"
42492,0.07,"frozenset({96, 82, 58})"
42493,0.05,"frozenset({58, 83, 85})"
42494,0.06,"frozenset({58, 83, 93})"
42495,0.08,"frozenset({96, 58, 83})"
42496,0.08,"frozenset({96, 58, 84})"
42497,0.05,"frozenset({58, 85, 86})"
42498,0.06,"frozenset({88, 58, 85})"
42499,0.06,"frozenset({58, 93, 85})"
42500,0.05,"frozenset({96, 58, 85})"
42501,0.05,"frozenset({97, 58, 85})"
42502,0.06,"frozenset({58, 99, 85})"
42503,0.06,"frozenset({58, 100, 85})"
42504,0.05,"frozenset({88, 58, 86})"
42505,0.05,"frozenset({58, 93, 86})"
42506,0.05,"frozenset({96, 58, 86})"
42507,0.06,"frozenset({97, 58, 86})"
42508,0.05,"frozenset({58, 99, 86})"
42509,0.06,"frozenset({58, 93, 87})"
42510,0.06,"frozenset({97, 58, 87})"
42511,0.05,"frozenset({88, 97, 58})"
42512,0.06,"frozenset({88, 58, 98})"
42513,0.05,"frozenset({88, 58, 100})"
42514,0.05,"frozenset({89, 58, 90})"
42515,0.06,"frozenset({89, 58, 93})"
42516,0.06,"frozenset({96, 89, 58})"
42517,0.05,"frozenset({89, 58, 98})"
42518,0.05,"frozenset({90, 91, 58})"
42519,0.07,"frozenset({96, 90, 58})"
42520,0.05,"frozenset({97, 90, 58})"
42521,0.05,"frozenset({96, 58, 91})"
42522,0.05,"frozenset({97, 58, 91})"
42523,0.05,"frozenset({58, 91, 98})"
42524,0.07,"frozenset({58, 92, 93})"
42525,0.05,"frozenset({58, 92, 94})"
42526,0.05,"frozenset({97, 58, 92})"
42527,0.06,"frozenset({58, 93, 94})"
42528,0.06,"frozenset({96, 58, 93})"
42529,0.08,"frozenset({96, 97, 58})"
42530,0.07,"frozenset({96, 58, 98})"
42531,0.05,"frozenset({97, 58, 100})"
42532,0.06,"frozenset({59, 60, 61})"
42533,0.08,"frozenset({64, 59, 60})"
42534,0.06,"frozenset({59, 68, 60})"
42535,0.05,"frozenset({59, 60, 69})"
42536,0.08,"frozenset({59, 76, 60})"
42537,0.09,"frozenset({59, 60, 77})"
42538,0.06,"frozenset({59, 60, 78})"
42539,0.06,"frozenset({82, 59, 60})"
42540,0.06,"frozenset({59, 60, 85})"
42541,0.06,"frozenset({59, 60, 86})"
42542,0.05,"frozenset({88, 59, 60})"
42543,0.05,"frozenset({59, 60, 93})"
42544,0.06,"frozenset({96, 59, 60})"
42545,0.06,"frozenset({97, 59, 60})"
42546,0.05,"frozenset({59, 100, 60})"
42547,0.06,"frozenset({59, 61, 62})"
42548,0.05,"frozenset({59, 61, 63})"
42549,0.06,"frozenset({64, 59, 61})"
42550,0.05,"frozenset({59, 68, 61})"
42551,0.06,"frozenset({59, 69, 61})"
42552,0.09,"frozenset({72, 59, 61})"
42553,0.06,"frozenset({74, 59, 61})"
42554,0.06,"frozenset({59, 76, 61})"
42555,0.08,"frozenset({59, 77, 61})"
42556,0.07,"frozenset({80, 59, 61})"
42557,0.05,"frozenset({81, 59, 61})"
42558,0.07,"frozenset({82, 59, 61})"
42559,0.08,"frozenset({83, 59, 61})"
42560,0.07,"frozenset({59, 85, 61})"
42561,0.05,"frozenset({88, 59, 61})"
42562,0.05,"frozenset({89, 59, 61})"
42563,0.05,"frozenset({90, 59, 61})"
42564,0.05,"frozenset({59, 61, 94})"
42565,0.06,"frozenset({59, 61, 95})"
42566,0.06,"frozenset({96, 59, 61})"
42567,0.1,"frozenset({97, 59, 61})"
42568,0.07,"frozenset({99, 59, 61})"
42569,0.07,"frozenset({59, 100, 61})"
42570,0.07,"frozenset({59, 62, 63})"
42571,0.08,"frozenset({65, 59, 62})"
42572,0.05,"frozenset({59, 68, 62})"
42573,0.05,"frozenset({59, 69, 62})"
42574,0.05,"frozenset({62, 59, 70})"
42575,0.05,"frozenset({59, 62, 79})"
42576,0.06,"frozenset({59, 85, 62})"
42577,0.05,"frozenset({88, 59, 62})"
42578,0.05,"frozenset({89, 59, 62})"
42579,0.05,"frozenset({90, 59, 62})"
42580,0.06,"frozenset({96, 59, 62})"
42581,0.05,"frozenset({59, 100, 62})"
42582,0.07,"frozenset({65, 59, 63})"
42583,0.05,"frozenset({67, 59, 63})"
42584,0.05,"frozenset({59, 68, 63})"
42585,0.05,"frozenset({59, 69, 63})"
42586,0.05,"frozenset({59, 70, 63})"
42587,0.05,"frozenset({59, 78, 63})"
42588,0.06,"frozenset({59, 63, 79})"
42589,0.05,"frozenset({82, 59, 63})"
42590,0.05,"frozenset({59, 84, 63})"
42591,0.07,"frozenset({59, 85, 63})"
42592,0.05,"frozenset({88, 59, 63})"
42593,0.05,"frozenset({89, 59, 63})"
42594,0.05,"frozenset({90, 59, 63})"
42595,0.05,"frozenset({96, 59, 63})"
42596,0.05,"frozenset({97, 59, 63})"
42597,0.08,"frozenset({99, 59, 63})"
42598,0.09,"frozenset({59, 100, 63})"
42599,0.08,"frozenset({64, 67, 59})"
42600,0.07,"frozenset({64, 59, 69})"
42601,0.06,"frozenset({64, 59, 71})"
42602,0.05,"frozenset({72, 64, 59})"
42603,0.09,"frozenset({64, 59, 76})"
42604,0.07,"frozenset({64, 59, 77})"
42605,0.05,"frozenset({64, 59, 78})"
42606,0.05,"frozenset({64, 59, 79})"
42607,0.05,"frozenset({64, 81, 59})"
42608,0.06,"frozenset({64, 82, 59})"
42609,0.05,"frozenset({64, 83, 59})"
42610,0.06,"frozenset({64, 59, 84})"
42611,0.05,"frozenset({64, 89, 59})"
42612,0.07,"frozenset({96, 64, 59})"
42613,0.06,"frozenset({64, 97, 59})"
42614,0.05,"frozenset({64, 98, 59})"
42615,0.05,"frozenset({99, 64, 59})"
42616,0.05,"frozenset({64, 59, 100})"
42617,0.05,"frozenset({65, 59, 79})"
42618,0.06,"frozenset({65, 59, 85})"
42619,0.05,"frozenset({65, 59, 95})"
42620,0.05,"frozenset({72, 66, 59})"
42621,0.05,"frozenset({74, 59, 66})"
42622,0.05,"frozenset({66, 59, 85})"
42623,0.05,"frozenset({66, 59, 86})"
42624,0.05,"frozenset({96, 66, 59})"
42625,0.05,"frozenset({97, 66, 59})"
42626,0.07,"frozenset({99, 66, 59})"
42627,0.06,"frozenset({67, 59, 69})"
42628,0.05,"frozenset({67, 59, 84})"
42629,0.05,"frozenset({96, 67, 59})"
42630,0.05,"frozenset({97, 67, 59})"
42631,0.05,"frozenset({99, 67, 59})"
42632,0.05,"frozenset({67, 59, 100})"
42633,0.07,"frozenset({59, 76, 68})"
42634,0.06,"frozenset({59, 68, 77})"
42635,0.05,"frozenset({59, 68, 78})"
42636,0.06,"frozenset({80, 59, 68})"
42637,0.06,"frozenset({81, 59, 68})"
42638,0.08,"frozenset({59, 68, 85})"
42639,0.05,"frozenset({59, 68, 86})"
42640,0.06,"frozenset({88, 59, 68})"
42641,0.05,"frozenset({59, 68, 93})"
42642,0.06,"frozenset({59, 68, 94})"
42643,0.05,"frozenset({96, 59, 68})"
42644,0.05,"frozenset({97, 59, 68})"
42645,0.08,"frozenset({99, 59, 68})"
42646,0.05,"frozenset({59, 100, 68})"
42647,0.05,"frozenset({59, 77, 69})"
42648,0.05,"frozenset({59, 69, 78})"
42649,0.06,"frozenset({82, 59, 69})"
42650,0.05,"frozenset({59, 69, 95})"
42651,0.06,"frozenset({96, 59, 69})"
42652,0.07,"frozenset({97, 59, 69})"
42653,0.05,"frozenset({59, 100, 69})"
42654,0.05,"frozenset({59, 85, 70})"
42655,0.05,"frozenset({88, 59, 70})"
42656,0.05,"frozenset({96, 59, 70})"
42657,0.06,"frozenset({99, 59, 70})"
42658,0.05,"frozenset({59, 100, 70})"
42659,0.07,"frozenset({59, 76, 71})"
42660,0.05,"frozenset({59, 77, 71})"
42661,0.06,"frozenset({82, 59, 71})"
42662,0.05,"frozenset({89, 59, 71})"
42663,0.05,"frozenset({96, 59, 71})"
42664,0.05,"frozenset({97, 59, 71})"
42665,0.05,"frozenset({99, 59, 71})"
42666,0.05,"frozenset({59, 100, 71})"
42667,0.07,"frozenset({72, 74, 59})"
42668,0.07,"frozenset({72, 59, 76})"
42669,0.07,"frozenset({72, 59, 77})"
42670,0.07,"frozenset({72, 82, 59})"
42671,0.05,"frozenset({72, 83, 59})"
42672,0.06,"frozenset({72, 59, 85})"
42673,0.05,"frozenset({72, 59, 86})"
42674,0.05,"frozenset({88, 72, 59})"
42675,0.06,"frozenset({72, 90, 59})"
42676,0.05,"frozenset({72, 59, 92})"
42677,0.06,"frozenset({72, 59, 95})"
42678,0.05,"frozenset({96, 72, 59})"
42679,0.09,"frozenset({72, 97, 59})"
42680,0.09,"frozenset({99, 72, 59})"
42681,0.05,"frozenset({72, 59, 100})"
42682,0.06,"frozenset({73, 74, 59})"
42683,0.05,"frozenset({99, 73, 59})"
42684,0.05,"frozenset({74, 59, 76})"
42685,0.06,"frozenset({82, 59, 74})"
42686,0.05,"frozenset({97, 74, 59})"
42687,0.06,"frozenset({99, 74, 59})"
42688,0.05,"frozenset({59, 76, 77})"
42689,0.05,"frozenset({59, 76, 78})"
42690,0.05,"frozenset({81, 59, 76})"
42691,0.07,"frozenset({82, 59, 76})"
42692,0.05,"frozenset({83, 59, 76})"
42693,0.06,"frozenset({59, 76, 86})"
42694,0.05,"frozenset({88, 59, 76})"
42695,0.06,"frozenset({89, 59, 76})"
42696,0.06,"frozenset({90, 59, 76})"
42697,0.07,"frozenset({59, 76, 93})"
42698,0.07,"frozenset({96, 59, 76})"
42699,0.05,"frozenset({97, 59, 76})"
42700,0.08,"frozenset({99, 59, 76})"
42701,0.06,"frozenset({59, 100, 76})"
42702,0.05,"frozenset({59, 77, 78})"
42703,0.06,"frozenset({80, 59, 77})"
42704,0.06,"frozenset({81, 59, 77})"
42705,0.07,"frozenset({82, 59, 77})"
42706,0.05,"frozenset({83, 59, 77})"
42707,0.06,"frozenset({59, 85, 77})"
42708,0.06,"frozenset({59, 77, 87})"
42709,0.06,"frozenset({88, 59, 77})"
42710,0.05,"frozenset({59, 93, 77})"
42711,0.05,"frozenset({59, 77, 95})"
42712,0.07,"frozenset({96, 59, 77})"
42713,0.08,"frozenset({97, 59, 77})"
42714,0.05,"frozenset({99, 59, 77})"
42715,0.05,"frozenset({59, 100, 77})"
42716,0.05,"frozenset({59, 78, 79})"
42717,0.05,"frozenset({82, 59, 78})"
42718,0.06,"frozenset({97, 59, 78})"
42719,0.05,"frozenset({99, 59, 78})"
42720,0.06,"frozenset({59, 100, 78})"
42721,0.05,"frozenset({59, 85, 79})"
42722,0.05,"frozenset({80, 81, 59})"
42723,0.05,"frozenset({80, 83, 59})"
42724,0.06,"frozenset({80, 59, 85})"
42725,0.05,"frozenset({88, 80, 59})"
42726,0.05,"frozenset({80, 59, 95})"
42727,0.06,"frozenset({80, 97, 59})"
42728,0.05,"frozenset({99, 80, 59})"
42729,0.06,"frozenset({80, 59, 100})"
42730,0.05,"frozenset({81, 59, 84})"
42731,0.06,"frozenset({81, 59, 85})"
42732,0.05,"frozenset({81, 59, 87})"
42733,0.06,"frozenset({88, 81, 59})"
42734,0.06,"frozenset({81, 90, 59})"
42735,0.05,"frozenset({81, 59, 93})"
42736,0.05,"frozenset({81, 59, 94})"
42737,0.05,"frozenset({96, 81, 59})"
42738,0.07,"frozenset({99, 81, 59})"
42739,0.05,"frozenset({83, 82, 59})"
42740,0.05,"frozenset({82, 59, 85})"
42741,0.08,"frozenset({89, 82, 59})"
42742,0.07,"frozenset({90, 59, 82})"
42743,0.05,"frozenset({82, 59, 95})"
42744,0.07,"frozenset({96, 82, 59})"
42745,0.09,"frozenset({97, 82, 59})"
42746,0.08,"frozenset({99, 82, 59})"
42747,0.07,"frozenset({82, 59, 100})"
42748,0.06,"frozenset({89, 83, 59})"
42749,0.05,"frozenset({96, 83, 59})"
42750,0.07,"frozenset({99, 83, 59})"
42751,0.05,"frozenset({59, 84, 85})"
42752,0.05,"frozenset({90, 59, 84})"
42753,0.05,"frozenset({96, 59, 84})"
42754,0.05,"frozenset({99, 59, 84})"
42755,0.05,"frozenset({59, 85, 86})"
42756,0.06,"frozenset({88, 59, 85})"
42757,0.06,"frozenset({90, 59, 85})"
42758,0.05,"frozenset({59, 93, 85})"
42759,0.06,"frozenset({59, 85, 94})"
42760,0.05,"frozenset({59, 85, 95})"
42761,0.06,"frozenset({97, 59, 85})"
42762,0.08,"frozenset({99, 59, 85})"
42763,0.06,"frozenset({59, 100, 85})"
42764,0.05,"frozenset({88, 59, 86})"
42765,0.06,"frozenset({99, 59, 86})"
42766,0.05,"frozenset({88, 59, 87})"
42767,0.07,"frozenset({88, 90, 59})"
42768,0.06,"frozenset({88, 59, 93})"
42769,0.06,"frozenset({88, 59, 95})"
42770,0.05,"frozenset({88, 97, 59})"
42771,0.07,"frozenset({99, 88, 59})"
42772,0.06,"frozenset({96, 89, 59})"
42773,0.07,"frozenset({99, 89, 59})"
42774,0.05,"frozenset({91, 90, 59})"
42775,0.06,"frozenset({90, 59, 93})"
42776,0.07,"frozenset({97, 90, 59})"
42777,0.08,"frozenset({99, 90, 59})"
42778,0.06,"frozenset({90, 59, 100})"
42779,0.05,"frozenset({99, 59, 92})"
42780,0.05,"frozenset({59, 100, 92})"
42781,0.05,"frozenset({99, 59, 93})"
42782,0.06,"frozenset({99, 59, 94})"
42783,0.06,"frozenset({97, 59, 95})"
42784,0.05,"frozenset({99, 59, 95})"
42785,0.06,"frozenset({96, 97, 59})"
42786,0.05,"frozenset({96, 98, 59})"
42787,0.06,"frozenset({99, 59, 96})"
42788,0.05,"frozenset({96, 59, 100})"
42789,0.05,"frozenset({97, 98, 59})"
42790,0.06,"frozenset({99, 97, 59})"
42791,0.07,"frozenset({97, 59, 100})"
42792,0.07,"frozenset({99, 59, 100})"
42793,0.05,"frozenset({60, 61, 62})"
42794,0.05,"frozenset({60, 61, 63})"
42795,0.08,"frozenset({64, 60, 61})"
42796,0.06,"frozenset({68, 61, 60})"
42797,0.06,"frozenset({69, 60, 61})"
42798,0.05,"frozenset({60, 61, 70})"
42799,0.05,"frozenset({73, 60, 61})"
42800,0.07,"frozenset({74, 60, 61})"
42801,0.07,"frozenset({76, 61, 60})"
42802,0.08,"frozenset({77, 60, 61})"
42803,0.08,"frozenset({60, 61, 78})"
42804,0.05,"frozenset({60, 61, 79})"
42805,0.07,"frozenset({80, 60, 61})"
42806,0.05,"frozenset({81, 60, 61})"
42807,0.05,"frozenset({82, 60, 61})"
42808,0.07,"frozenset({83, 60, 61})"
42809,0.06,"frozenset({85, 60, 61})"
42810,0.06,"frozenset({60, 61, 87})"
42811,0.05,"frozenset({88, 60, 61})"
42812,0.06,"frozenset({89, 60, 61})"
42813,0.05,"frozenset({90, 60, 61})"
42814,0.05,"frozenset({91, 60, 61})"
42815,0.07,"frozenset({93, 60, 61})"
42816,0.06,"frozenset({60, 61, 94})"
42817,0.08,"frozenset({97, 60, 61})"
42818,0.05,"frozenset({98, 60, 61})"
42819,0.05,"frozenset({99, 60, 61})"
42820,0.05,"frozenset({100, 61, 60})"
42821,0.06,"frozenset({64, 60, 63})"
42822,0.06,"frozenset({60, 70, 63})"
42823,0.05,"frozenset({75, 60, 63})"
42824,0.05,"frozenset({60, 77, 63})"
42825,0.08,"frozenset({60, 78, 63})"
42826,0.06,"frozenset({60, 63, 79})"
42827,0.05,"frozenset({84, 60, 63})"
42828,0.05,"frozenset({60, 63, 87})"
42829,0.05,"frozenset({88, 60, 63})"
42830,0.06,"frozenset({92, 60, 63})"
42831,0.06,"frozenset({60, 93, 63})"
42832,0.05,"frozenset({97, 60, 63})"
42833,0.05,"frozenset({98, 60, 63})"
42834,0.06,"frozenset({100, 60, 63})"
42835,0.05,"frozenset({64, 65, 60})"
42836,0.06,"frozenset({64, 67, 60})"
42837,0.05,"frozenset({64, 68, 60})"
42838,0.07,"frozenset({64, 60, 69})"
42839,0.06,"frozenset({64, 60, 70})"
42840,0.05,"frozenset({64, 60, 71})"
42841,0.06,"frozenset({64, 76, 60})"
42842,0.09,"frozenset({64, 60, 77})"
42843,0.07,"frozenset({64, 60, 78})"
42844,0.05,"frozenset({64, 60, 79})"
42845,0.05,"frozenset({64, 82, 60})"
42846,0.06,"frozenset({64, 83, 60})"
42847,0.05,"frozenset({64, 60, 85})"
42848,0.05,"frozenset({64, 60, 87})"
42849,0.06,"frozenset({64, 91, 60})"
42850,0.06,"frozenset({64, 92, 60})"
42851,0.05,"frozenset({64, 60, 93})"
42852,0.07,"frozenset({96, 64, 60})"
42853,0.08,"frozenset({64, 97, 60})"
42854,0.05,"frozenset({64, 100, 60})"
42855,0.05,"frozenset({65, 60, 79})"
42856,0.05,"frozenset({97, 66, 60})"
42857,0.05,"frozenset({67, 60, 69})"
42858,0.05,"frozenset({73, 67, 60})"
42859,0.05,"frozenset({75, 67, 60})"
42860,0.07,"frozenset({67, 60, 77})"
42861,0.05,"frozenset({67, 60, 78})"
42862,0.06,"frozenset({67, 60, 79})"
42863,0.05,"frozenset({67, 84, 60})"
42864,0.05,"frozenset({88, 67, 60})"
42865,0.07,"frozenset({97, 67, 60})"
42866,0.05,"frozenset({98, 67, 60})"
42867,0.05,"frozenset({67, 100, 60})"
42868,0.05,"frozenset({73, 68, 60})"
42869,0.05,"frozenset({74, 68, 60})"
42870,0.05,"frozenset({76, 60, 68})"
42871,0.07,"frozenset({68, 77, 60})"
42872,0.05,"frozenset({78, 68, 60})"
42873,0.06,"frozenset({68, 85, 60})"
42874,0.05,"frozenset({86, 68, 60})"
42875,0.06,"frozenset({68, 60, 87})"
42876,0.05,"frozenset({88, 68, 60})"
42877,0.05,"frozenset({90, 68, 60})"
42878,0.05,"frozenset({92, 60, 68})"
42879,0.05,"frozenset({68, 93, 60})"
42880,0.05,"frozenset({96, 68, 60})"
42881,0.05,"frozenset({97, 68, 60})"
42882,0.05,"frozenset({98, 68, 60})"
42883,0.05,"frozenset({99, 68, 60})"
42884,0.08,"frozenset({77, 60, 69})"
42885,0.09,"frozenset({60, 69, 78})"
42886,0.06,"frozenset({84, 69, 60})"
42887,0.05,"frozenset({88, 60, 69})"
42888,0.05,"frozenset({97, 60, 69})"
42889,0.05,"frozenset({99, 60, 69})"
42890,0.08,"frozenset({100, 69, 60})"
42891,0.06,"frozenset({70, 60, 78})"
42892,0.05,"frozenset({81, 60, 70})"
42893,0.06,"frozenset({70, 92, 60})"
42894,0.06,"frozenset({60, 78, 71})"
42895,0.05,"frozenset({82, 60, 71})"
42896,0.05,"frozenset({60, 71, 87})"
42897,0.07,"frozenset({97, 60, 71})"
42898,0.07,"frozenset({73, 74, 60})"
42899,0.05,"frozenset({73, 76, 60})"
42900,0.05,"frozenset({73, 60, 78})"
42901,0.05,"frozenset({73, 60, 87})"
42902,0.05,"frozenset({89, 73, 60})"
42903,0.06,"frozenset({73, 98, 60})"
42904,0.05,"frozenset({73, 99, 60})"
42905,0.05,"frozenset({74, 75, 60})"
42906,0.06,"frozenset({74, 76, 60})"
42907,0.07,"frozenset({74, 60, 87})"
42908,0.05,"frozenset({74, 60, 93})"
42909,0.05,"frozenset({74, 60, 94})"
42910,0.07,"frozenset({74, 60, 98})"
42911,0.05,"frozenset({74, 100, 60})"
42912,0.05,"frozenset({75, 60, 79})"
42913,0.05,"frozenset({88, 75, 60})"
42914,0.05,"frozenset({75, 92, 60})"
42915,0.05,"frozenset({75, 60, 94})"
42916,0.06,"frozenset({76, 77, 60})"
42917,0.07,"frozenset({78, 76, 60})"
42918,0.05,"frozenset({76, 85, 60})"
42919,0.07,"frozenset({76, 60, 87})"
42920,0.07,"frozenset({76, 93, 60})"
42921,0.05,"frozenset({99, 76, 60})"
42922,0.05,"frozenset({100, 60, 76})"
42923,0.09,"frozenset({60, 77, 78})"
42924,0.05,"frozenset({60, 77, 79})"
42925,0.05,"frozenset({80, 60, 77})"
42926,0.05,"frozenset({82, 60, 77})"
42927,0.06,"frozenset({84, 77, 60})"
42928,0.07,"frozenset({85, 60, 77})"
42929,0.06,"frozenset({60, 77, 87})"
42930,0.07,"frozenset({88, 60, 77})"
42931,0.05,"frozenset({92, 77, 60})"
42932,0.05,"frozenset({93, 60, 77})"
42933,0.05,"frozenset({60, 77, 94})"
42934,0.05,"frozenset({96, 60, 77})"
42935,0.09,"frozenset({97, 60, 77})"
42936,0.05,"frozenset({98, 60, 77})"
42937,0.06,"frozenset({99, 60, 77})"
42938,0.06,"frozenset({100, 77, 60})"
42939,0.05,"frozenset({60, 78, 79})"
42940,0.05,"frozenset({78, 84, 60})"
42941,0.07,"frozenset({60, 78, 87})"
42942,0.06,"frozenset({88, 60, 78})"
42943,0.06,"frozenset({90, 60, 78})"
42944,0.05,"frozenset({60, 93, 78})"
42945,0.08,"frozenset({97, 60, 78})"
42946,0.06,"frozenset({99, 60, 78})"
42947,0.08,"frozenset({78, 100, 60})"
42948,0.05,"frozenset({88, 60, 79})"
42949,0.06,"frozenset({97, 60, 79})"
42950,0.05,"frozenset({80, 60, 85})"
42951,0.05,"frozenset({80, 60, 94})"
42952,0.05,"frozenset({81, 84, 60})"
42953,0.06,"frozenset({81, 60, 85})"
42954,0.06,"frozenset({81, 60, 93})"
42955,0.05,"frozenset({89, 82, 60})"
42956,0.05,"frozenset({97, 82, 60})"
42957,0.05,"frozenset({84, 85, 60})"
42958,0.05,"frozenset({99, 84, 60})"
42959,0.06,"frozenset({100, 60, 84})"
42960,0.06,"frozenset({93, 60, 85})"
42961,0.05,"frozenset({60, 85, 94})"
42962,0.05,"frozenset({97, 60, 85})"
42963,0.05,"frozenset({99, 60, 85})"
42964,0.05,"frozenset({100, 85, 60})"
42965,0.05,"frozenset({90, 60, 87})"
42966,0.07,"frozenset({60, 93, 87})"
42967,0.07,"frozenset({97, 60, 87})"
42968,0.06,"frozenset({98, 60, 87})"
42969,0.05,"frozenset({100, 60, 87})"
42970,0.05,"frozenset({90, 60, 93})"
42971,0.05,"frozenset({97, 90, 60})"
42972,0.05,"frozenset({91, 60, 93})"
42973,0.05,"frozenset({94, 92, 60})"
42974,0.05,"frozenset({97, 60, 93})"
42975,0.05,"frozenset({97, 60, 94})"
42976,0.06,"frozenset({94, 100, 60})"
42977,0.05,"frozenset({97, 98, 60})"
42978,0.06,"frozenset({97, 100, 60})"
42979,0.05,"frozenset({61, 62, 63})"
42980,0.05,"frozenset({64, 61, 62})"
42981,0.05,"frozenset({65, 61, 62})"
42982,0.08,"frozenset({67, 61, 62})"
42983,0.05,"frozenset({68, 61, 62})"
42984,0.07,"frozenset({69, 61, 62})"
42985,0.1,"frozenset({62, 61, 70})"
42986,0.05,"frozenset({61, 62, 71})"
42987,0.05,"frozenset({72, 61, 62})"
42988,0.08,"frozenset({74, 61, 62})"
